power,power2,power3,ema1len,ema2len,sma1len,sma2len,trimlong,trimshort,Sortino Ratio
2.402023018545703,0.8671079792911214,0.08498830573537876,260,483,415,125,0.07601380236054167,0.051688218215521275,3.8376401945067617
3.4582858557409333,0.5294893786729099,0.0631120603430227,223,461,311,157,0.2578065539844192,0.21058432620620904,3.888983603552544
3.7727897284514844,0.4986724516303441,0.030426369292818896,472,277,493,103,0.35888236141397284,0.13862237605127004,3.9944875989479045
4.354010451801909,0.7768594255237694,0.08449123341698267,56,288,382,84,0.416955142233024,0.34511572529352946,4.333080106370439
2.005603535689668,0.6140452211668773,0.0816438891204472,324,416,474,456,0.25154405685888087,0.1362255052485311,4.434408917506449
1.952089417781128,0.5348250463274847,0.016720820912962578,356,370,139,463,0.1062425679975681,0.2750807796334183,4.456813391292309
1.426934901427178,0.9667682030940067,0.02770701596700651,433,338,120,96,0.3894583669025006,0.3091735978371792,4.553181766573549
2.4846206595014544,0.5752909422940561,0.031813768991184106,278,495,347,350,0.3485597185305268,0.22504322795306347,4.590790083529725
2.1990186818918422,0.9556893522975736,0.06894928168219451,350,106,166,89,0.37233539530975357,0.37266111841106836,4.973013131497943
1.4361852965669362,0.23820282791529696,0.06740905908500829,133,322,209,142,0.3984354281064247,0.2320657215478263,5.345507427561579
