power,power2,power3,ema1len,ema2len,sma1len,sma2len,trimlong,trimshort,Equity Final [$]
2.4304576327519256,0.813386509285554,0.08529392402273846,96,260,486,109,0.31583141950397775,0.488015256311247,44194660.18207997
2.166607072419969,0.5266215502817436,0.06393591557358169,104,290,398,106,0.0699789576368647,0.3090600955722321,45346658.48747995
2.6452905619521987,0.7915833842219553,0.059744948996356476,107,231,378,108,0.22857190927364862,0.2978134061165511,46240138.996659994
2.520377337344412,0.3020287710861923,0.08644528243418576,162,239,143,111,0.08758861135088641,0.30327646514195505,46300770.73814
2.2769617550450154,0.5625855308272545,0.08384296813689142,172,295,480,108,0.07003919348143552,0.27695659431102576,48163926.21694001
2.7510624536336583,0.2910150374503867,0.06838061705876257,119,235,489,128,0.11990966043547913,0.47863111764775534,49015234.594259985
2.94668068887992,0.6700526721907191,0.0870687139580722,113,279,486,103,0.10663103308780196,0.26458903207994205,49087373.439299956
2.412522565251687,0.5871840661294805,0.07160123821308266,153,263,397,111,0.10285618422418077,0.08665464837063726,49293163.147360004
3.173272027582362,0.9305415005896797,0.08441659957075953,186,304,499,68,0.09690334901318268,0.22958873439580324,54043561.937979996
2.7306254224490942,0.4084032200748017,0.07104516076202233,147,292,473,107,0.1909417675748486,0.08357391380308278,61651072.16717999
